Season,Nationality,Topscorer,Team,Goals
2024,Argentina,Lautaro Martínez,FC Internazionale Milano,24
2023,Nigeria,Victor Osimhen,SSC Napoli,26
2022,Italy,Ciro Immobile,SS Lazio,27
2021,Portugal,Cristiano Ronaldo,Juventus FC,29
2020,Italy,Ciro Immobile,SS Lazio,36
2019,Italy,Fabio Quagliarella,Sampdoria,26
2018,Argentina,Mauro Icardi,FC Internazionale Milano,29
2018,Italy,Ciro Immobile,SS Lazio,29
2017,Bosnia-Herzegovina,Edin Džeko,AS Roma,29
2016,Argentina,Gonzalo Higuaín,SSC Napoli,36
2015,Argentina,Mauro Icardi,FC Internazionale Milano,22
2015,Italy,Luca Toni,Hellas Verona FC,22
2014,Italy,Ciro Immobile,Torino FC,22
2013,Uruguay,Edinson Cavani,SSC Napoli,29
2012,Sweden,Zlatan Ibrahimovic,AC Milan,28
2011,Italy,Antonio Di Natale,Udinese Calcio,28
2010,Italy,Antonio Di Natale,Udinese Calcio,29
2009,Sweden,Zlatan Ibrahimovic,FC Internazionale Milano,25
2008,Italy,Alessandro Del Piero,Juventus FC,21
2007,Italy,Francesco Totti,AS Roma,26
2006,Italy,Luca Toni,ACF Fiorentina,31
2005,Italy,Cristiano Lucarelli,AS Livorno,24
2004,Ukraine,Andriy Shevchenko,AC Milan,24
2003,Italy,Christian Vieri,FC Internazionale Milano,24
2002,France,David Trezeguet,Juventus FC,24
2002,Italy,Dario Hubner,Piacenza Calcio,24
2001,Argentina,Hernán Crespo,SS Lazio,26
2000,Ukraine,Andriy Shevchenko,AC Milan,24
1999,Brazil,Amoroso,Udinese Calcio,22
1998,Germany,Oliver Bierhoff,Udinese Calcio,27
1997,Italy,Filippo Inzaghi,Atalanta BC,24
1996,Italy,Igor Protti,SSC Bari,24
1996,Italy,Giuseppe Signori,SS Lazio,24
1995,Argentina,Gabriel Batistuta,ACF Fiorentina,26
1994,Italy,Giuseppe Signori,SS Lazio,23
1993,Italy,Giuseppe Signori,SS Lazio,26
1992,Netherlands,Marco van Basten,AC Milan,25
1991,Italy,Gianluca Vialli,Sampdoria,17
1990,Netherlands,Marco van Basten,AC Milan,19
1989,Italy,Aldo Serena,FC Internazionale Milano,22
1988,Argentina,Diego Maradona,SSC Napoli,15
1987,Italy,Pietro Virdis,AC Milan,17
1986,Italy,Roberto Pruzzo,AS Roma,19
1985,France,Michel Platini,Juventus FC,18
1984,France,Michel Platini,Juventus FC,20
1983,France,Michel Platini,Juventus FC,16
1982,Italy,Roberto Pruzzo,AS Roma,15
1981,Italy,Roberto Pruzzo,AS Roma,18
1980,Italy,Roberto Bettega,Juventus FC,16
1979,Italy,Bruno Giordano,SS Lazio,19
1978,Italy,Paolo Rossi,L.R. Vicenza,24
1977,Italy,Francesco Graziani,Torino FC,21
1976,Italy,Paolino Pulici,Torino FC,21
1975,Italy,Paolino Pulici,Torino FC,18
1974,Italy,Giorgio Chinaglia,SS Lazio,24
1973,Italy,Paolino Pulici,Torino FC,17
1974,Italy,Giuseppe Savoldi,Bologna FC,17
1975,Italy,Gianni Rivera,AC Milan,17
1972,Italy,Roberto Boninsegna,FC Internazionale Milano,22
1971,Italy,Roberto Boninsegna,FC Internazionale Milano,24
1970,Italy,Luigi Riva,Cagliari Calcio,21
1969,Italy,Luigi Riva,Cagliari Calcio,20
1968,Italy,Pierino Prati,AC Milan,15
1967,Italy,Luigi Riva,Cagliari Calcio,18
1966,Brazil,Vinicio,L.R. Vicenza,25
1965,Italy,Sandro Mazzola,FC Internazionale Milano,17
1966,Italy,Alberto Orlando,ACF Fiorentina,17
1964,Denmark,Harald Nielsen,Bologna FC,21
1963,Argentina,Pedro Waldemar Manfredini,AS Roma,19
1964,Denmark,Harald Nielsen,Bologna FC,19
1962,Italy,Aurelio Milani,ACF Fiorentina,22
1963,Brazil,Altafini,AC Milan,22
1961,Italy,Sergio Brighenti,Sampdoria,27
1960,Argentina,Omar Sivori,Juventus FC,27
1959,Argentina,Antonio Angelillo,FC Internazionale Milano,33
1958,Wales,John Charles,Juventus FC,28
1957,Brazil,Da Costa,AS Roma,22
1956,Italy,Gino Pivatelli,Bologna FC,29
1955,Sweden,Gunnar Nordahl,AC Milan,27
1954,Sweden,Gunnar Nordahl,AC Milan,23
1953,Sweden,Gunnar Nordahl,AC Milan,26
1952,Denmark,John Hansen,Juventus FC,30
1951,Sweden,Gunnar Nordahl,AC Milan,34
1950,Sweden,Gunnar Nordahl,AC Milan,35
1949,Hungary,Stefano Nyers,FC Internazionale Milano,26
1948,Italy,Giampiero Boniperti,Juventus FC,27
1947,Italy,Mazzola,Juventus FC,29
1943,Italy,Silvio Piola,SS Lazio,21
1942,Italy,Aldo Boffi,AC Milan,22
1941,Uruguay,Héctor Puricelli,Bologna FC,22
1940,Italy,Aldo Boffi,AC Milan,24
1939,Uruguay,Héctor Puricelli,Bologna FC,19
1940,Italy,Aldo Boffi,AC Milan,19
1938,Italy,Giuseppe Meazza,FC Internazionale Milano,20
1937,Italy,Silvio Piola,SS Lazio,21
1936,Italy,Giuseppe Meazza,FC Internazionale Milano,25
1935,Argentina,Enrico Guaita,AS Roma,28
1934,Italy,Felice Borel,Juventus FC,32
1933,Italy,Felice Borel,Juventus FC,29
1932,Uruguay,Pedro Petrone,ACF Fiorentina,25
1933,Italy,Angelo Schiavio,Bologna FC,25
1931,Italy,Rodolfo Volk,AS Roma,29
1930,Italy,Giuseppe Meazza,FC Internazionale Milano,31
1929,Italy,Gino Rossetti,Torino FC,36
1928,Argentina,Julio Libonatti,Torino FC,35
1927,Austria,Anton Powolny,FC Internazionale Milano,22
1926,Hungary,Ferenc Hirzer,Juventus FC,35
1925,Italy,Mario Magnozzi,AS Livorno,19
1924,Austria,Heinrich Schönfeld,Torino FC,22
